BerufId;Beruf
998;Aufleger, Spinnerei
996;Aufmacher, Spinnerei
14093;Aufnahmeleiter
14108;Aufnahmeleiter 1
14104;Aufnahmeleiter TV
14189;Aufnahmetechniker
18409;Aufrauer (ohne nähere Angaben)
2610;Aufräumarbeiter
15532;Aufräumer
1752;Aufschlagnäher
13468;Aufseher
12676;Aufseher beim Stellwerkdienst
13479;Aufseher, öffentlicher Dienst
13495;Aufseher, öffentlicher Dienst 1
3477;Aufsetzer (Gips-, Kalkwerk)
11824;Aufsichtsbeamter
10889;Aufsichtsrat
1515;Aufspanner
2354;Aufspanner (Kürschner)
1030;Aufstecker (Spinnerei)
1367;Aufstosser
18739;Aufteiler (ohne nähere Angaben)
18735;Auftragsabwickler
11269;Auftragsleiter
8538;Auftragsplaner
16422;Aufwachraumpfleger
1215;Aufzieher
4629;Aufzugschlosser
3095;Aufzugskontrolleur
8896;Aufzugsmaschinist
3101;Aufzugsmonteur
3096;Aufzugsreparateur
8173;Aufzugtechniker
15825;Augenarzt
15898;Augenarzt 1
16051;Augendiagnostiker
16069;Augenoptiker
16057;Augenoptiker, dipl. HFP
16074;Augenoptikermeister
16439;Augenpfleger
16160;Augenprothetiker
10606;Auktionator
12248;Auktionshausmitarbeiter
16221;Aura Soma-Therapeut
2163;Ausballer
528;Ausbeiner
1723;Ausbesserer
1806;Ausbesserer in Stickerei
17381;Ausbildner
17398;Ausbildner 1
17389;Ausbildner bei Polizei
17390;Ausbildner in Druckereibranche
17050;Ausbildner in Krankenpflege
17388;Ausbildner in Technologie und Qualitätssicherung
17240;Ausbildner in Versicherungsbranche
17391;Ausbildner PTT
17444;Ausbildner, eidg. FA
17438;Ausbildner, Post
17429;Ausbildungsassistent
17392;Ausbildungsberater
17400;Ausbildungsberater 1
17424;Ausbildungschef Polizei
7756;Ausbildungsingenieur
17382;Ausbildungsleiter
10914;Ausbildungsmanager
17428;Ausbildungsplaner
17440;Ausbildungsspezialist
17383;Ausbildungsverantwortlicher
18385;Ausbrenner
14363;Ausdruckstänzer
14364;Ausdruckstanzlehrer
16132;Ausdruckstherapeut
657;Ausformer
2982;Ausfuger
6276;Ausfütterer
18120;Ausgeber
3721;Ausgiesser
9585;Ausgleichskassenkassier
10181;Ausgleichskassenleiter
10241;Ausgleichskassenleiter (öffentlicher Dienst)
17672;Ausgraber
17674;Ausgrabungsleiter
17666;Ausgrabungstechniker
18652;Aushelfer
15342;Aushilfe im Gastgewerbe
18670;Aushilfsangestellter
18656;Aushilfsarbeiter
